expe_sentence_key	ibex_sentence_key	texte_expe	filler-type	negation	num_syll
121-or-0-F-LA-6		ne mange pas le melon	ordre	YES	6
122-or-0-F-LA-3		va en cours	ordre	NO	3
123-or-0-F-LA-5		ne reste pas là	ordre	YES	5
124-or-0-F-LA-4		fais tes devoirs	ordre	NO	4
125-or-0-F-LA-4		prends ton cartable	ordre	NO	4
126-or-0-F-LA-5		ne pars pas trop loin	ordre	YES	5
127-or-0-F-LA-5		reste près de moi	ordre	NO	5
128-or-0-F-LA-7		allez voir le principal	ordre	NO	7
129-or-0-F-LA-4		faites attention	ordre	NO	4
130-or-0-F-LA-8		va voir le monsieur du sixième	ordre	NO	8
131-or-0-F-LA-5		sois plus attentif	ordre	NO	5
132-or-0-F-LA-7		ne cherchez pas à m’avoir	ordre	YES	7
133-or-0-F-LA-6		soyez plus respectueux	ordre	NO	6
134-or-0-F-LA-5		ne dites plus un mot	ordre	YES	5
135-or-0-F-LA-7		fais la vaisselle tout de suite	ordre	NO	7
136-or-0-F-LA-9		ne crois pas ce que te disent les gens	ordre	YES	9
137-or-0-F-LA-7		n’embête pas ton petit frère	ordre	YES	7
138-or-0-F-LA-6		essaie de rester calme	ordre	NO	6
139-or-0-F-LA-7		rappelle moi dans cinq minutes	ordre	NO	7
140-or-0-F-LA-7		envoie une lettre à ta mère	ordre	NO	7
141-or-0-F-LA-7		n’espère pas pouvoir me battre	ordre	YES	7
142-or-0-F-LA-6		utilise ton couteau	ordre	NO	6
143-or-0-F-LA-10		apprends à être plus indépendant	ordre	NO	10
144-or-0-F-LA-8		jette ton mouchoir à la poubelle	ordre	NO	8
145-or-0-F-LA-8		ne salis pas ton pantalon	ordre	YES	8
146-or-0-F-LA-6		ose faire ce que tu veux	ordre	NO	6
147-or-0-F-LA-8		parle au directeur au plus vite	ordre	NO	8
148-or-0-F-LA-9		lis ce livre avant demain matin	ordre	NO	9
149-or-0-F-LA-6		garde la tête haute	ordre	NO	6
150-or-0-F-LA-4		danse avec moi	ordre	NO	4
151-or-0-F-LA-8		ne sois pas dur avec toi même	ordre	YES	8
152-or-0-F-LA-5		reste dans ta chambre	ordre	NO	5
153-or-0-F-LA-9		revenez demain après-midi	ordre	NO	9
154-or-0-F-LA-6		buvez votre café	ordre	NO	6
155-or-0-F-LA-7		mangez cinq légumes par jour	ordre	NO	7
156-or-0-F-LA-8		tentez de ne pas boire d’alcool	ordre	YES	8
157-or-0-F-LA-10		arrêtez de fumer la cigarette	ordre	NO	10
158-or-0-F-LA-7		faites gaffe à votre portable	ordre	NO	7
159-or-0-F-LA-7		gardez vos clefs sous la main	ordre	NO	7
160-or-0-F-LA-7		expliquez moi ça tout de suite	ordre	NO	7
161-ex-0-F-LA-4		quelle belle journée	excla	NO	4
162-ex-0-F-LA-6		j’adore ton nouveau sac	excla	NO	6
163-ex-0-F-LA-6		je suis tellement content	excla	NO	6
164-ex-0-F-LA-6		il y a du soleil	excla	NO	6
165-ex-0-F-LA-5		qu’est-ce que tu es drôle	excla	NO	5
166-ex-0-F-LA-4		quelle bonne surprise	excla	NO	4
167-ex-0-F-LA-7		la vue est vraiment splendide	excla	NO	7
168-ex-0-F-LA-8		cette maison est tellement belle	excla	NO	8
169-ex-0-F-LA-8		le nouveau prof est trop sympa	excla	NO	8
170-ex-0-F-LA-7		je n’arrive pas à y croire	excla	YES	7
171-ex-0-F-LA-6		tu cuisines tellement bien	excla	NO	6
172-ex-0-F-LA-8		je suis si heureux d’être ici	excla	NO	8
173-ex-0-F-LA-7		il est vraiment trop sympa	excla	NO	7
174-ex-0-F-LA-7		tu as beaucoup de talent	excla	NO	7
175-ex-0-F-LA-8		on adore aller au théâtre	excla	NO	8
176-ex-0-F-LA-8		je suis impatient de t’entendre	excla	NO	8
177-ex-0-F-LA-8		les chatons sont vraiment mignons	excla	NO	8
178-ex-0-F-LA-10		j’ai adoré lire ce superbe livre	excla	NO	10
179-ex-0-F-LA-7		ils vont tellement bien ensemble	excla	NO	7
180-ex-0-F-LA-8		tu chantes exceptionnellement bien	excla	NO	8
181-ex-0-F-LA-12		on dirait un tableau de l’époque romantique	excla	NO	12
182-ex-0-F-LA-9		quel grand garçon tu es maintenant	excla	NO	9
183-ex-0-F-LA-9		je suis très content de ton travail	excla	NO	9
184-ex-0-F-LA-8		comme Jean-Pierre est intelligent	excla	NO	8
185-ex-0-F-LA-8		comme ce gâteau est délicieux	excla	NO	8
186-ex-0-F-LA-10		quels beaux résultats tu as obtenu	excla	NO	10
187-ex-0-F-LA-8		ces fleurs sont vraiment ravissantes	excla	NO	8
188-ex-0-F-LA-8		je crois vraiment très fort en toi	excla	NO	8
189-ex-0-F-LA-7		que ce dauphin est sublime	excla	NO	7
190-ex-0-F-LA-9		c’est vraiment une merveilleuse idée	excla	NO	9
191-ex-0-F-LA-7		comment j’adore cette sculpture	excla	NO	7
192-ex-0-F-LA-6		qu’est-ce que je m’amuse	excla	NO	6
193-ex-0-F-LA-9		je suis très heureux que tu sois là	excla	NO	9
194-ex-0-F-LA-7		tu as vraiment une belle voix	excla	NO	7
195-ex-0-F-LA-6		il s’habille tellement bien	excla	NO	6
196-ex-0-F-LA-8		elle adore quand on lui dit ça	excla	NO	8
197-ex-0-F-LA-7		Paul a eu de très bonnes notes	excla	NO	7
198-ex-0-F-LA-10		Stéphane est guéri de sa maladie	excla	NO	10
199-ex-0-F-LA-13		Je suis allé voir une exposition incroyable	excla	NO	13
200-ex-0-F-LA-9		Ce gâteau est vraiment délicieux	excla	NO	9
